Atajo;Comando;Descripcion;
commands;commands [bpnumber];Especifique una lista de comandos para el número del punto de interrupción bpnumber. Los comandos mismos aparecen en las siguientes líneas. Escriba una línea que contenga sólo end para terminar los comandos.;
s;s(tep);Ejecutar la línea actual, detenerse en la primera ocasión posible (ya sea en una función que se llame o en la siguiente línea de la función actual).;
n;n(ext);Continúe la ejecución hasta que se alcance la siguiente línea de la función actual o vuelva. (La diferencia entre next y step es que step se detiene dentro de una función llamada, mientras que next ejecuta las funciones llamadas a (casi) toda velocidad, deteniéndose sólo en la siguiente línea de la función actual).;
unt;unt(il) [lineno];Sin argumento, continúe la ejecución hasta que se alcance la línea con un número mayor que el actual. Con un número de línea, continúe la ejecución hasta que se alcance una línea con un número mayor o igual a ese. En ambos casos, también se detiene cuando vuelve la trama actual. Distinto en la versión 3.2: Permita dar un número de línea explícito.;
r;r(eturn);Continúe la ejecución hasta que vuelva la función actual.;
c;c(ont(inue))Continúa la ejecución;sólo se detiene cuando se encuentra un punto de ruptura.;
j;j(ump) lineno;Establezca la siguiente línea que será ejecutada. Sólo disponible en el marco de más bajo. Esto te permite saltar hacia atrás y ejecutar el código de nuevo, o saltar hacia adelante para saltar el código que no quieres ejecutar.Cabe señalar que no todos los saltos están permitidos – por ejemplo, no es posible saltar en medio de un bucle for o fuera de una cláusula finally.;
l;l(ist) [first[, last]];Enumere el código fuente del archivo actual. Sin argumentos, enumere 11 líneas alrededor de la línea actual o continúe la lista anterior. Con . como argumento, enumere 11 líneas alrededor de la línea actual. Con un argumento, enumere 11 líneas alrededor de esa línea. Con dos argumentos, enumere el rango dado, si el segundo argumento es menor que el primero, se interpreta como un conteo. La línea actual en el cuadro actual se indica con ->. Si se está depurando una excepción, la línea donde la excepción fue originalmente planteada o propagada se indica con >>, si difiere de la línea actual.;
ll;ll | longlist;Enumere todos los códigos fuente de la función o marco actual. Las líneas interesantes están marcadas como list.;
a;a(rgs);Imprime la lista de argumentos de la función actual.;
p;p expression;Evalúa la expression en el contexto actual e imprime su valor.;
pp;pp expression;Como el comando p, excepto que el valor de la expresión se imprime bastante usando el módulo pprint.;
whatis;whatis expression;Imprime el tipo de la expression.;
source;source expression;Intenta obtener el código fuente del objeto dado y mostrarlo.;
display;display [expression];Muestra el valor de la expresión si ha cambiado, cada vez que se detenga la ejecución en el marco actual. Sin expresión, enumere todas las expresiones de visualización para el cuadro actual.;
undisplay;undisplay [expression];No muestren más la expresión en el cuadro actual. Sin la expresión, borre todas las expresiones de la pantalla para el marco actual.;
interact;interact;Inicie un intérprete interactivo (usando el módulo code) cuyo espacio de nombres global contiene todos los nombres (globales y locales) que se encuentran en el ámbito actual.;
alias;alias [name [command]];Crear un alias llamado name que ejecute el command. El comando no debe estar entre comillas. Los parámetros reemplazables pueden ser indicados por %1, %2, y así sucesivamente, mientras que %* es reemplazado por todos los parámetros. Si no se da ningún comando, se muestra el alias actual de name. Si no se dan argumentos, se muestran todos los alias. Los alias pueden anidarse y pueden contener cualquier cosa que se pueda teclear legalmente en el prompt de pdb. Tenga en cuenta que los comandos internos de pdb pueden ser anulados por los alias. Dicho comando se oculta hasta que se elimina el alias. El alias se aplica de forma recursiva a la primera palabra de la línea de comandos, todas las demás palabras de la línea se dejan en paz.;
unalias;unalias name;Elimine el alias especificado.! statement Ejecute (una línea) statement en el contexto del marco de la pila actual. El signo de exclamación puede ser omitido a menos que la primera palabra de la declaración se parezca a un comando de depuración. Para establecer una variable global, puede anteponer al comando de asignación una declaración global en la misma línea.;
run;run [args ...];;
restart;restart [args ...];Reinicie el programa Python depurado. Si se suministra un argumento, se divide con shlex y el resultado se utiliza como el nuevo sys.argv. Se conservan el historial, los puntos de interrupción, las acciones y las opciones del depurador. restart es un alias de run.;
q;q(uit);Salga del depurador. El programa que se está ejecutando fue abortado.;
debug;debug code;Introduce un depurador recursivo que pasa por el argumento del código (que es una expresión o declaración arbitraria que debe ejecutarse en el entorno actual).;
retval;retval;Imprime el valor de retorno para el último retorno de una función.;
